mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_mean_13,mfcc_delta_mean_14,mfcc_delta_mean_15,mfcc_delta_mean_16,mfcc_delta_mean_17,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,mfcc_delta_std_13,mfcc_delta_std_14,mfcc_delta_std_15,mfcc_delta_std_16,mfcc_delta_std_17,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_mean_7,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,contrast_std_7,spectral_centroid_mean,spectral_centroid_std,zero_crossing_rate_mean,zero_crossing_rate_std,Person,Language
-1.0,0.20902734994888306,-0.050143346190452576,0.10698073357343674,-0.058943506330251694,0.07438845187425613,-0.04385999217629433,0.03584272041916847,-0.02771194465458393,0.010939323343336582,-0.04334559664130211,-0.012665017507970333,-0.0064968387596309185,-0.017324665561318398,-0.01218381430953741,-0.01933986507356167,-0.0038299085572361946,0.0,0.15306387841701508,0.0793045312166214,0.07052333652973175,0.0697953850030899,0.03760089725255966,0.051163483411073685,0.02967790514230728,0.03721508011221886,0.03194275125861168,0.03923637047410011,0.028876088559627533,0.017693452537059784,0.01912553235888481,0.03606431186199188,0.01692543737590313,0.0169806070625782,1.2364395063357847e-09,-0.00011395527690183371,-0.0006280457018874586,-8.113716467050835e-05,0.00020753592252731323,-0.0003242234524805099,-0.00024449388729408383,-0.0002679591707419604,-0.0002558259293437004,-5.8481724408920854e-05,-6.356488302117214e-05,-0.00012222198711242527,0.0001414137805113569,-0.00010086470865644515,-0.00012644557864405215,3.445968104642816e-05,7.340742740780115e-05,5.666078273236508e-09,0.03336664289236069,0.01634221151471138,0.0141769889742136,0.009676891379058361,0.005997233092784882,0.008178457617759705,0.005323681980371475,0.006186832673847675,0.005670677870512009,0.005024948623031378,0.005795290227979422,0.0032415094319730997,0.0036456373054534197,0.004805055912584066,0.0030541671440005302,0.0029511137399822474,0.5436810851097107,0.4066588282585144,0.4183494448661804,0.40507838129997253,0.29881739616394043,0.2740069627761841,0.4325982928276062,0.6196350455284119,0.6065388321876526,0.5799576640129089,0.5188136100769043,0.5159438848495483,0.3267976641654968,0.2689098119735718,0.2976592183113098,0.29202231764793396,0.24428874254226685,0.20817770063877106,0.26711219549179077,0.3630141615867615,0.34348562359809875,0.3220502734184265,0.2774035632610321,0.28488436341285706,24.335419867513483,14.27839452344608,16.444198502629078,15.972724047357296,17.495930047406777,17.4016897836342,64.75751861596603,4.7518646174951895,4.6896223564874955,4.082829927460885,3.544392509246735,2.87043874472371,2.3533351029955956,7.8173550424683516,2697.878325408212,1047.2378311163566,0.16136030717329544,0.11332885671875076,MariamB,German
-1.0,0.29321861267089844,-0.09106947481632233,0.0629512295126915,-0.09073073416948318,0.01774250902235508,-0.04362839460372925,-0.004440722055733204,-0.054149772971868515,-0.04131324961781502,-0.03159637004137039,-0.026716992259025574,-0.031396083533763885,-0.018951084464788437,-0.03454071655869484,-0.03214482218027115,-0.011662960052490234,0.0,0.12883946299552917,0.10219632834196091,0.06717055290937424,0.06614270806312561,0.04227272421121597,0.054268162697553635,0.048481542617082596,0.03367532417178154,0.03911800682544708,0.02743510901927948,0.023680301383137703,0.026093846186995506,0.019763268530368805,0.027780765667557716,0.021023817360401154,0.017569324001669884,1.648586045455147e-09,-0.00019886228255927563,0.0004482245713006705,-0.0008832391467876732,5.237910590949468e-05,1.2099291780032218e-05,0.00031505795777775347,9.012937516672537e-05,-9.632014553062618e-05,-0.0001095675615943037,-5.540034544537775e-05,-0.00033994659315794706,5.7522996939951554e-05,-0.00019582363893277943,-0.00011401760275475681,-0.00014785153325647116,-0.00021056528203189373,6.4904899232942626e-09,0.024946728721261024,0.02116536535322666,0.012195718474686146,0.013995291665196419,0.009275329299271107,0.01160724088549614,0.01020839624106884,0.0053825899958610535,0.007102562580257654,0.0051146214827895164,0.004389795940369368,0.005567533429712057,0.004140276927500963,0.005092737264931202,0.0036710421554744244,0.0038658184930682182,0.44872087240219116,0.32743677496910095,0.2673691511154175,0.26301446557044983,0.364682674407959,0.2467006891965866,0.2371278554201126,0.23295199871063232,0.22688980400562286,0.298132061958313,0.32189130783081055,0.4652438759803772,0.33316922187805176,0.33028367161750793,0.29890915751457214,0.2626499533653259,0.3678116202354431,0.2456444352865219,0.2675551772117615,0.24684055149555206,0.2792854607105255,0.3829759359359741,0.30719926953315735,0.35147425532341003,20.884074104362327,18.73135118569668,18.973592764687446,17.758910806355484,18.01318725339642,19.552157402255776,58.31343138001428,4.654954941385209,5.984127560937883,5.509695330678801,4.556887333703672,3.3475603607537723,4.290445725064613,8.68006228267867,2008.9171452101705,1266.2111842930328,0.11037375710227272,0.106963298360059,MariamB,German
-1.0,0.2764357328414917,-0.11623762547969818,0.07803814858198166,-0.099862240254879,0.03585321083664894,-0.07041574269533157,-0.010068435221910477,-0.053981974720954895,-0.026117723435163498,-0.04477887600660324,-0.03148578479886055,-0.032791510224342346,-0.01576714776456356,-0.04291939735412598,-0.03769360110163689,-0.024882230907678604,0.0,0.14019593596458435,0.13843785226345062,0.0735902488231659,0.05551067739725113,0.0548890046775341,0.05627800151705742,0.044515211135149,0.04167557880282402,0.036446984857320786,0.029155755415558815,0.025903766974806786,0.027401242405176163,0.029935084283351898,0.03348469361662865,0.02628851681947708,0.02328145131468773,1.05127240246361e-09,-0.0011695479042828083,-0.0004593413323163986,0.0004477958136703819,-0.00010704302258091047,-0.0003254890034440905,-0.0004237667890265584,0.0002502524002920836,-0.0002670790418051183,-0.00014030771853867918,8.439136581728235e-05,-3.4433064683980774e-06,-3.897130591212772e-05,2.3521617549704388e-05,2.0655961634474806e-05,-5.269575922284275e-06,-3.534018469508737e-05,5.2432036490301925e-09,0.02989138290286064,0.029860148206353188,0.013079947791993618,0.01042911410331726,0.010680180974304676,0.010732104070484638,0.009521298110485077,0.006510469596832991,0.0065681724809110165,0.006026552524417639,0.00445216242223978,0.005246629472821951,0.005828942637890577,0.0058381883427500725,0.005319719668477774,0.0040961820632219315,0.4259766936302185,0.4587416648864746,0.32012975215911865,0.24241165816783905,0.2991185486316681,0.2636229693889618,0.20355522632598877,0.24637369811534882,0.2789057493209839,0.32182735204696655,0.2910366654396057,0.36864784359931946,0.3601738214492798,0.3787481486797333,0.31295424699783325,0.3021879494190216,0.3699902296066284,0.3129584789276123,0.2381400763988495,0.2880012094974518,0.30973294377326965,0.34974876046180725,0.2878289222717285,0.32654401659965515,20.69714063274041,19.61784525735872,19.493012080700353,18.494327581411618,19.952008569764228,19.674809803315384,60.579689169936884,4.436647245730217,6.122423144118583,5.64777016695799,4.5134433116259,4.931432249441437,3.9063594616715798,8.215909951390666,2245.440591722839,1207.275886802982,0.12775041515700483,0.1126330414529057,MariamB,German
-1.0,0.2454775869846344,-0.07544004172086716,0.03495234251022339,-0.07973570376634598,0.0449882447719574,-0.07521908730268478,0.01189464796334505,-0.034536655992269516,-0.009956578724086285,-0.04013312608003616,-0.03939594700932503,-0.02644643746316433,-0.01024337112903595,-0.018059255555272102,-0.016477664932608604,-0.013900895603001118,0.0,0.14305479824543,0.07124041020870209,0.04567941650748253,0.043876614421606064,0.035120896995067596,0.051270708441734314,0.033030979335308075,0.02896657958626747,0.027903452515602112,0.029497655108571053,0.026755565777420998,0.02538646198809147,0.022738268598914146,0.024062994867563248,0.016646791249513626,0.012491889297962189,1.4039571727408884e-09,-0.0012613451108336449,1.3574476724897977e-05,6.970993854338303e-05,-0.0002400205994490534,-0.00016521818179171532,0.0005122857983224094,-0.00035678630229085684,-0.0002194154221797362,1.4274904060584959e-05,0.00012579909525811672,0.00013311656948644668,0.00013544713146984577,9.37318109208718e-05,0.00010509612184250727,0.000139245530590415,0.0002457454102113843,6.018212594938177e-09,0.02899508737027645,0.016407780349254608,0.009664912708103657,0.00947804655879736,0.0065067969262599945,0.009369059465825558,0.007623006589710712,0.0049246507696807384,0.004752738866955042,0.005539481993764639,0.004651249386370182,0.004201288800686598,0.003833421738818288,0.0032167043536901474,0.0033944204915314913,0.002632778137922287,0.5047788023948669,0.3586350977420807,0.2983768582344055,0.3686901330947876,0.3885849714279175,0.2727503478527069,0.24946030974388123,0.3493417501449585,0.45781758427619934,0.5213633179664612,0.4703470468521118,0.5567224025726318,0.35200241208076477,0.31500470638275146,0.2456628382205963,0.2867230176925659,0.3487914204597473,0.2488444298505783,0.2058642953634262,0.28644874691963196,0.3443099856376648,0.3533782958984375,0.27905040979385376,0.3165307343006134,21.579364156341356,15.081348298056817,16.42133853423224,16.85268168256736,17.87455072675922,17.355867485856628,61.57537838919843,4.947446140809491,5.05684983637167,5.158119221974526,4.132799647131378,3.3057089495509273,3.370629392973508,7.532731055320235,2328.229883548314,1266.547496083377,0.14690020161290324,0.1184214971200102,MariamB,German
-1.0,0.29917728900909424,-0.08954392373561859,0.07909569889307022,-0.08191081136465073,0.02905137464404106,-0.06773950159549713,0.018372703343629837,-0.05696716159582138,-0.030511464923620224,-0.056070923805236816,-0.025738734751939774,-0.03582089766860008,-0.009127230383455753,-0.04539928957819939,-0.03606179729104042,-0.011629541404545307,0.0,0.13310721516609192,0.093988798558712,0.0841643288731575,0.06314058601856232,0.04577350243926048,0.06123502552509308,0.037605565041303635,0.0455511137843132,0.032811615616083145,0.039266493171453476,0.029532432556152344,0.03009164333343506,0.03508473560214043,0.034976519644260406,0.02042006142437458,0.015968170017004013,1.8134447277162735e-09,7.861835911171511e-05,0.0007174156489782035,-0.0003566573723219335,0.0001355659478576854,5.7081364502664655e-05,0.00020491536997724324,-0.00020535265502985567,7.390134851448238e-05,-0.00023561179114039987,-0.00012013965169899166,3.3066444302676246e-05,0.00013944742386229336,0.00019983164384029806,-0.00025585826369933784,-0.00017952267080545425,2.2856596842757426e-05,6.78528921937982e-09,0.030181458219885826,0.02273762784898281,0.01566244475543499,0.014153892174363136,0.0100877545773983,0.009667792357504368,0.007329784799367189,0.008960007689893246,0.007047784514725208,0.006522510666400194,0.006314774975180626,0.005821506027132273,0.005795983597636223,0.007191084325313568,0.003966302610933781,0.0031374567188322544,0.3160528540611267,0.2198353111743927,0.22573833167552948,0.27574023604393005,0.3302147090435028,0.20749302208423615,0.14165398478507996,0.21358832716941833,0.3178462088108063,0.322338730096817,0.3809460997581482,0.4620439112186432,0.30984166264533997,0.28225934505462646,0.3039708733558655,0.2904866337776184,0.3729676306247711,0.25248560309410095,0.18613003194332123,0.2763645052909851,0.3843924105167389,0.33711549639701843,0.3442251682281494,0.36729902029037476,22.24519899552236,19.928704833627275,19.30043800817019,18.365813313423747,18.590095724646925,18.63232842024515,60.630967441809325,5.082143273794599,5.632524260102221,5.0986681738737,4.50303976335231,3.978456233342117,3.205271453344954,9.294889042375944,2057.865861926749,1052.7252069177746,0.0994140625,0.08073120278692789,MariamB,German
-1.0,0.2853456735610962,-0.06558581441640854,0.1346854865550995,-0.048593513667583466,0.057072628289461136,-0.057654984295368195,0.015861062332987785,-0.015241282992064953,0.002127500483766198,-0.033831436187028885,-0.02386965975165367,-0.01877039484679699,0.0031870887614786625,-0.03565404936671257,-0.016896752640604973,-0.0030603527557104826,0.0,0.1503130942583084,0.11177781224250793,0.11270049959421158,0.06636256724596024,0.04996649920940399,0.07602600008249283,0.037320517003536224,0.053930532187223434,0.03574072942137718,0.04383176192641258,0.03426940366625786,0.022197609767317772,0.027905697003006935,0.04109536483883858,0.0277506522834301,0.019793687388300896,1.8134447277162735e-09,-5.618203431367874e-05,-0.0006645846297033131,8.326796523761004e-05,-0.0002059254766209051,0.0011202591704204679,-0.0002732587745413184,-1.3001728802919388e-05,-0.00028031872352585196,0.00020965813018847257,0.00011922272824449465,-2.696438787097577e-05,-1.73422977240989e-05,-0.000331595481839031,0.0001903143129311502,-0.000533027749042958,0.00013107927225064486,6.78528921937982e-09,0.02869768626987934,0.019252970814704895,0.018834859132766724,0.009631499648094177,0.010591525584459305,0.00995485857129097,0.007606917526572943,0.008557314053177834,0.006339448504149914,0.007585476152598858,0.004858085885643959,0.00326146325096488,0.005000192206352949,0.006616667378693819,0.004888489842414856,0.004297981504350901,0.3577766716480255,0.30448541045188904,0.364164263010025,0.31153604388237,0.23810985684394836,0.27558618783950806,0.5233056545257568,0.5444924831390381,0.4912540018558502,0.43600207567214966,0.3708104193210602,0.4404360353946686,0.282148540019989,0.25345975160598755,0.300066739320755,0.25063639879226685,0.2549070119857788,0.24648354947566986,0.3999338150024414,0.39812925457954407,0.32812440395355225,0.31539762020111084,0.27711787819862366,0.3222651183605194,20.952565032547817,16.12820789169199,16.31417931582866,14.726536403263998,17.138817774403865,17.12159578593602,55.17188103268033,4.9615557808152815,4.412674053279971,5.15108600594322,4.018882256357788,4.310183666732705,4.589367170685863,10.956304686755756,2536.718415465341,1012.840654236379,0.11417643229166667,0.09265120814391727,MariamB,German
-1.0,0.3106164336204529,-0.048923756927251816,0.07190018147230148,-0.06208205223083496,0.07745674252510071,-0.03682200610637665,0.04291297495365143,-0.016055667772889137,0.026142748072743416,-0.01724485494196415,-0.03005659207701683,-0.013681265525519848,-0.002628110582008958,-0.03155821934342384,-0.030052445828914642,0.009715269319713116,0.0,0.15743383765220642,0.11424988508224487,0.05947239324450493,0.05261103808879852,0.0475161038339138,0.06384797394275665,0.046014197170734406,0.04145524650812149,0.028757812455296516,0.032529283314943314,0.03742053359746933,0.02652948908507824,0.03141855075955391,0.037346597760915756,0.027973001822829247,0.022458111867308617,1.351635803281681e-09,-0.0009657586924731731,-1.3127599629569886e-07,-6.754139758413658e-05,-8.187237108359113e-05,0.00039795011980459094,-0.00012555475404951721,-3.0803788831690326e-05,-0.0002778872149065137,0.00018427218310534954,0.00023926005815155804,-0.0003256825730204582,0.0001365559292025864,1.9782968593062833e-05,-0.00027100523584522307,4.131539026275277e-05,-9.381322161061689e-05,5.910992584290398e-09,0.03579806536436081,0.027784379199147224,0.012056238949298859,0.007534427102655172,0.010006323456764221,0.011488774791359901,0.010131658054888248,0.007388933561742306,0.0053702485747635365,0.006192557048052549,0.0068344599567353725,0.004690822679549456,0.006393953692167997,0.006352994125336409,0.005491906311362982,0.0044092717580497265,0.390074759721756,0.24427740275859833,0.24980692565441132,0.1998366415500641,0.15225593745708466,0.23499470949172974,0.4694672226905823,0.6269853711128235,0.5647321939468384,0.4900560975074768,0.39968398213386536,0.4594171643257141,0.31301939487457275,0.25105419754981995,0.2731654644012451,0.20091032981872559,0.17460331320762634,0.19969022274017334,0.3262374997138977,0.3762657046318054,0.3633880317211151,0.3273467719554901,0.27829834818840027,0.3225195109844208,23.55957104877969,17.209027377532088,17.766250944334896,17.776721504669386,18.45197889678455,18.590961672379226,61.48848777557745,5.005664248713056,5.626361769785896,5.21803455524752,4.207702546030244,4.063646042523337,3.5826099206050124,8.295448924174009,2226.6889908546996,1450.2288582138804,0.11710561432453416,0.13320450482946275,MariamB,German
-1.0,0.22559016942977905,-0.08816889673471451,0.10870587080717087,-0.08278734982013702,-0.051982298493385315,-0.13501736521720886,0.05041222274303436,-0.054449040442705154,-0.021540846675634384,-0.06198381632566452,-0.0026791037525981665,-0.055366043001413345,0.017134539783000946,-0.05813736468553543,-0.04508259892463684,-0.004032445605844259,0.0,0.13282544910907745,0.08586864173412323,0.07246755063533783,0.06119818612933159,0.07191149890422821,0.061342716217041016,0.03986003249883652,0.033278319984674454,0.031327590346336365,0.02725939452648163,0.02728382498025894,0.037449222058057785,0.029964670538902283,0.03165999427437782,0.028922947123646736,0.024958891794085503,1.5112039397635613e-09,-0.0006954852142371237,0.0009235350880771875,-0.0012116130674257874,0.0008567317272536457,0.00112113356590271,0.0014827349223196507,-0.00030273490119725466,0.000693906971719116,0.0001628308091312647,0.0003350302577018738,-0.00011815366451628506,0.0006116407457739115,-0.0006114527932368219,9.871152724372223e-05,0.00019294126832392067,-0.0001887428225018084,6.230853610844633e-09,0.029678137972950935,0.01985919661819935,0.012894058600068092,0.00958180334419012,0.016458842903375626,0.012272531166672707,0.008540580980479717,0.006217838730663061,0.005552386399358511,0.005296805873513222,0.005392919760197401,0.006487981881946325,0.006796730682253838,0.006748803425580263,0.005420406814664602,0.004680525977164507,0.30270180106163025,0.29337969422340393,0.44793108105659485,0.48722347617149353,0.2846304178237915,0.19038549065589905,0.20686472952365875,0.15653982758522034,0.09307575970888138,0.11634290218353271,0.1408269852399826,0.24811702966690063,0.3518786132335663,0.3098459243774414,0.39175930619239807,0.4005577564239502,0.3072308301925659,0.27391424775123596,0.2900163531303406,0.2384273111820221,0.15439337491989136,0.19278524816036224,0.20505423843860626,0.32233569025993347,20.94347251291486,20.294750363631092,21.92432532138575,20.37349915980254,21.200321520622627,21.850574587455796,62.69201839605127,3.8302341509800804,5.560747185924564,6.099398519564497,5.329182390182803,4.467640753288861,4.490230561589846,7.4182351686139745,2509.2263492103925,1336.14328843099,0.15913560655381945,0.12442792895620995,MariamB,German
-1.0,0.28287601470947266,-0.10938410460948944,0.07482748478651047,-0.09066233783960342,0.031761229038238525,-0.080548956990242,-0.0032085925340652466,-0.04302157461643219,-0.026879411190748215,-0.0556630939245224,-0.052730873227119446,-0.03094486892223358,-0.014588438905775547,-0.030296124517917633,-0.02358957566320896,-0.008301086723804474,0.0,0.1338919848203659,0.12625649571418762,0.07141745090484619,0.04920681565999985,0.04201304540038109,0.05359331890940666,0.042361777275800705,0.035963576287031174,0.033019423484802246,0.034794505685567856,0.030582286417484283,0.02470017783343792,0.021006887778639793,0.028841642662882805,0.02206142246723175,0.022710667923092842,1.1513935360696337e-09,-0.0005017627263441682,0.0007063326775096357,-0.00020627440244425088,0.00020773953292518854,-0.0003006220795214176,0.0002021452964982018,-5.825523840030655e-05,-0.00024341764219570905,-8.298401371575892e-05,3.801581988227554e-05,5.7887158618541434e-05,-0.0001447286194888875,-9.779635729501024e-05,1.2028666787955444e-05,-6.962942279642448e-05,4.821663878828986e-06,5.476688880179381e-09,0.026392361149191856,0.02668449468910694,0.011723500676453114,0.009533658623695374,0.008330663666129112,0.010202190838754177,0.008757010102272034,0.005810046102851629,0.007072560954838991,0.005951543338596821,0.005857250187546015,0.004174266941845417,0.004176873713731766,0.0055363355204463005,0.00422024866566062,0.003961438313126564,0.41556164622306824,0.3522656559944153,0.25567567348480225,0.2425163984298706,0.2087167352437973,0.22071336209774017,0.24562968313694,0.25648587942123413,0.34824591875076294,0.34715181589126587,0.4154466986656189,0.41345730423927307,0.38275831937789917,0.3366747200489044,0.2707425355911255,0.30451539158821106,0.2541586756706238,0.2607221305370331,0.30045709013938904,0.2721390128135681,0.36142343282699585,0.3075387179851532,0.35937997698783875,0.3320654034614563,20.701469527355297,18.399713922786802,19.199706655426436,18.91625167595581,19.868292819736567,18.841737242853167,60.288915680027394,5.523755520093295,5.788299746017035,5.911968323573592,4.3676017337188116,4.276507731105039,3.5097825661018733,8.666209828527032,2180.5093658052365,1075.744489077173,0.11560123181216932,0.07730016949725796,MariamB,German
-1.0,0.24602070450782776,-0.09385570883750916,0.09968937188386917,-0.10616131126880646,0.03516973555088043,-0.08557447791099548,0.016516000032424927,-0.07742475718259811,-0.03413781896233559,-0.05303649976849556,-0.021430935710668564,-0.038398388773202896,-0.020515842363238335,-0.04364462569355965,-0.03821036219596863,-0.014745091088116169,0.0,0.14794446527957916,0.11725597083568573,0.08206206560134888,0.053821951150894165,0.06803341954946518,0.06228267028927803,0.04229387640953064,0.039594948291778564,0.04002287611365318,0.03196430206298828,0.027055272832512856,0.022978587076067924,0.02529151923954487,0.030704930424690247,0.02804732695221901,0.02451247349381447,1.303073982050762e-09,0.00041107123252004385,-0.0008206374477595091,0.00027776535716839135,-0.00012133243581047282,-0.0001687955082161352,3.83177466574125e-05,-0.00017910139285959303,0.00024474383099004626,-5.616757334792055e-05,0.00014940756955184042,9.646440594224259e-05,-1.3764411960437428e-05,0.00021710949658881873,0.00016009158571250737,0.0001655315572861582,-0.00013142399257048965,5.809284164826067e-09,0.034709490835666656,0.02599281445145607,0.015091150999069214,0.011264016851782799,0.013870804570615292,0.012482958845794201,0.009564434178173542,0.007882051169872284,0.008125154301524162,0.006592138670384884,0.006022759713232517,0.004607202019542456,0.004564287140965462,0.00616277614608407,0.0056258635595440865,0.0047532981261610985,0.3368203341960907,0.46498313546180725,0.3133963942527771,0.20111607015132904,0.21872402727603912,0.27430179715156555,0.2332199513912201,0.25437286496162415,0.21308709681034088,0.1971992403268814,0.25029075145721436,0.2334928959608078,0.3565562963485718,0.41883590817451477,0.3263547420501709,0.26844900846481323,0.2833251357078552,0.3341110646724701,0.2836596667766571,0.3504609763622284,0.28631114959716797,0.2647746801376343,0.33647868037223816,0.30290764570236206,21.061281771997322,21.44643678053458,19.920259839297277,18.037953488052523,19.570102050588307,19.663235266421573,61.62699483684822,4.394665054087272,5.988326769341934,5.219495403853827,4.335201673256877,4.102011485746964,3.708294433760033,9.084988112046906,2488.6087887758763,1409.3692314054992,0.13407852264221556,0.11995938851764548,MariamB,German
